complaint_number,status,message,report_file,folder,workbook_row,backup_file
104-1552972,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1552972/104-1552972 - DEO Report.odt,,39,
104-1568413,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1568413/104-1568413 - DEO Report.odt,,38,
104-1578867,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1578867/104-1578867 - DEO Report.odt,,37,
104-1592848,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1592848/104-1592848 - DEO Report.odt,,36,
104-1593110,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-1593110/104-1593110 - DEO Report.odt,,35,
104-4758591,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-4758591/104-4758591 - DEO Report.odt,,34,
104-5262882,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5262882/104-5262882 - DEO Report.odt,,33,
104-5345008,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5345008/104-5345008 - DEO Report.odt,,32,
104-5483995,skipped_no_reply,Folder exists but workbook has no reply.,,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5483995,,
104-5770514,skipped_no_reply,Folder exists but workbook has no reply.,,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-5770514,,
104-6031795,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6031795/104-6031795 - DEO Report.odt,,31,
104-6251810,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6251810/104-6251810 - DEO Report.odt,,30,
104-6252028,dry_run_update,Would apply reply to DEO Report.,/home/ahmad/code/deomeeautomations/crm-management-system/crm-compliances/pending/104-6252028/104-6252028 - DEO Report.odt,,29,
